symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164.0,35655839,38.6333924521,39.1117877135,38.2311596204,39.0332452079,142623356,0.0,1.0
AAPL,2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.3331347747,39.8091499602,38.5191488076,38.5881710095,169709696,0.0,1.0
AAPL,2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.2470839308,40.2708846901,39.3355148507,39.6068435064,214277504,0.0,1.0
AAPL,2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.0250006485,42.3058496079,41.3657196166,41.7060704743,266157484,0.0,1.0
AAPL,2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.1011630782,42.2463477098,41.518044476,41.8607754095,136272720,0.0,1.0
AAPL,2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,43.7529357717,43.8528989607,42.4058127969,42.4248534043,224805268,0.0,1.0
AAPL,2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.0694858701,44.6668849278,43.9719027571,44.0742460219,169805692,0.0,1.0
AAPL,2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.2813126276,44.3217739184,43.7148545569,44.0290245793,113611108,0.0,1.0
AAPL,2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,44.5931025741,44.6026228778,44.0837663256,44.400316424,92844964,0.0,1.0
AAPL,2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.2309629226,45.3095054282,44.662124776,44.6835454593,111957156,0.0,1.0
AAPL,2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.0595974558,45.4108229093,44.7872185328,45.2746334477,104848884,0.73,1.0
AAPL,2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,44.9544687487,45.2841906029,44.8851793735,45.1599475854,83115088,0.0,1.0
AAPL,2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,44.5459003641,44.6964255584,44.2257356651,44.6271361833,94780636,0.0,1.0
AAPL,2018-05-16 00:00:00+00:00,188.18,188.46,186.0,186.07,19183064,44.9616366151,45.0285367014,44.440771657,44.4574966785,76732256,0.0,1.0
AAPL,2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188.0,17294029,44.677311248,45.1360546974,44.5267860537,44.9186294167,69176116,0.0,1.0
AAPL,2018-05-18 00:00:00+00:00,186.31,187.81,186.13,187.19,18297728,44.5148396097,44.8732329295,44.4718324113,44.725097024,73190912,0.0,1.0
AAPL,2018-05-21 00:00:00+00:00,187.63,189.27,186.91,188.0,18400787,44.8302257312,45.2220690941,44.6581969376,44.9186294167,73603148,0.0,1.0
AAPL,2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.38,15240704,44.7179291576,45.128886831,44.6271361833,45.0094223911,60962816,0.0,1.0
AAPL,2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415,45.0046438135,45.0380938566,44.3834287258,44.5243967649,80233660,0.0,1.0
AAPL,2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975,44.9544687487,45.1193296758,44.4909467217,45.1026046542,92935900,0.0,1.0
AAPL,2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963,45.057208167,45.3128620685,44.8350043087,44.9735830591,69843852,0.0,1.0
AAPL,2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075,44.8947365287,45.0978260766,44.6486397824,44.8230578648,90056300,0.0,1.0
AAPL,2018-05-30 00:00:00+00:00,187.5,188.0,186.78,187.72,18690547,44.7991649768,44.9186294167,44.6271361833,44.8517293303,74762188,0.0,1.0
AAPL,2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793,44.6486397824,44.9735830591,44.4742217001,44.7322648904,109931172,0.0,1.0
AAPL,2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.99,23442510,45.4538301076,45.4586086852,44.8588971967,44.9162401279,93770040,0.0,1.0
AAPL,2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.64,26266174,45.8337270266,46.2136239456,45.7190411643,45.7883305395,105064696,0.0,1.0
AAPL,2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.07,21565963,46.1873417688,46.3378669632,45.960359333,46.1299988377,86263852,0.0,1.0
AAPL,2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619,46.3474241184,46.3713170064,45.8552306258,46.2637990104,83734476,0.0,1.0
